image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
face_c.png,1.03302,9.588623,35.180664,2.937317,1.1871338,2.0645142,2.2720337,0.22220612,1.2672424,3.378296,0.7217407,1.3496399,0.06723404,0.20923615,4.0649414,0.06980896,0.14362335,0.93460083,0.1446724,0.017952919,1.4846802,3.2684326,0.69847107,1.6464233,0.35648346,0.1338005,0.15230179,0.041127205,3.6895752,1.0948181,0.2779007,0.31414032,9.790039,0.26111603,0.8918762,0.48675537,0.92315674,0.11949539,0.13275146,0.31909943,2.5756836,0.14104843,0.10280609,1.2359619,4.812622,0.40893555,0.30670166,1.298523,0.17147064
fantasy.png,15.661621,12.5,3.6346436,2.055359,3.4362793,3.1082153,6.866455,5.960083,6.677246,1.5617371,23.376465,18.652344,0.6263733,2.6412964,35.44922,1.3938904,10.009766,1.0604858,2.8625488,1.486969,0.3473282,4.602051,3.2562256,5.8929443,1.2908936,0.712204,0.6729126,1.6815186,0.71907043,6.677246,3.7506104,0.6198883,0.7282257,0.5256653,1.03302,2.3773193,0.34294128,1.424408,0.91171265,4.2785645,2.3864746,0.68588257,0.98724365,1.0513306,0.8026123,1.1451721,1.0635376,3.161621,0.84381104
fantasy_c.png,6.365967,30.10254,15.478516,1.6555786,2.0874023,32.055664,12.939453,2.2399902,4.2022705,0.35800934,13.4765625,9.442139,1.3069153,2.2155762,24.975586,1.1367798,10.845947,0.94833374,7.183838,2.2003174,6.048584,15.246582,5.5786133,5.685425,1.095581,0.8201599,0.2084732,0.4005432,2.7877808,11.517334,18.99414,2.2750854,4.4891357,0.8911133,5.755615,1.9332886,0.33245087,6.0821533,0.7904053,1.309967,0.5393982,0.6706238,0.4951477,1.3122559,0.32196045,0.9338379,1.1871338,3.1860352,1.7486572
flower.jpg,5.923462,5.734253,6.5185547,15.576172,6.854248,6.8847656,2.0950317,0.6652832,5.429077,2.4383545,19.73877,13.220215,0.89416504,5.2948,4.260254,1.28479,4.5959473,4.6325684,0.48217773,1.4503479,0.22125244,2.9571533,3.5430908,12.536621,1.8295288,1.2748718,0.16326904,1.4900208,1.4686584,5.352783,5.1757812,1.0620117,1.7181396,1.7471313,1.2649536,3.161621,0.6538391,0.78430176,0.44174194,0.59928894,4.345703,0.6111145,0.9086609,0.62179565,8.2092285,2.1835327,0.6576538,3.540039,1.0993958
flower_c.png,7.147217,14.84375,8.233643,2.267456,3.540039,31.738281,4.6936035,1.1573792,8.26416,0.35648346,7.611084,7.5561523,3.2287598,2.2109985,2.482605,0.95443726,8.563232,3.1204224,1.3496399,2.4795532,0.7003784,4.2510986,3.1311035,6.994629,0.6603241,0.42381287,0.029706955,0.7511139,2.3727417,2.999878,9.954834,0.9880066,3.6712646,0.41618347,0.68855286,1.0742188,0.12598038,0.75912476,0.58898926,0.22621155,0.7469177,0.7575989,0.68244934,0.7778168,0.8804321,0.6473541,0.6038666,1.6464233,0.47416687
goose.png,8.404541,3.0929565,14.672852,13.415527,7.788086,2.2827148,3.3355713,0.535202,5.194092,3.0471802,3.5186768,2.8945923,0.60920715,3.3477783,2.1469116,0.932312,1.260376,4.2297363,0.18672943,0.9460449,2.5939941,4.7332764,2.1362305,0.9475708,2.06604,0.9384155,0.7701874,0.8514404,1.5838623,1.6265869,1.1405945,2.1331787,3.2653809,2.156067,1.1421204,2.8411865,3.6773682,0.5641937,1.8707275,0.33626556,4.23584,1.7684937,1.197052,2.1636963,11.151123,1.8966675,1.6571045,1.4945984,0.5264282
goose_c.png,6.591797,11.633301,17.700195,12.359619,10.83374,1.1428833,5.654907,0.41007996,14.550781,2.8793335,1.6906738,5.154419,0.0644207,0.49819946,6.982422,0.3715515,1.0292053,2.432251,0.47569275,0.36621094,1.3587952,7.751465,1.2268066,1.7868042,1.2992859,0.35152435,1.0055542,0.3074646,0.71525574,2.3117065,0.3856659,2.4475098,3.753662,3.4118652,0.9880066,1.8127441,6.3049316,0.33931732,1.1291504,1.361084,7.043457,1.0093689,0.65574646,5.2124023,18.896484,1.6281128,1.7547607,2.7038574,0.17719269
half.png,4.0740967,3.1173706,17.126465,4.1656494,2.2445679,1.3221741,1.8218994,0.5596161,5.895996,9.503174,4.0374756,7.0983887,0.13999939,0.8079529,1.4877319,0.57144165,0.69770813,1.5541077,0.09641647,0.25291443,0.10318756,1.525116,0.88272095,2.4215698,0.8468628,0.5607605,0.67214966,0.6916046,0.7045746,0.81481934,0.39596558,0.13713837,1.2611389,0.1540184,0.5054474,1.436615,1.511383,0.14019012,0.20751953,0.66223145,7.5805664,0.2855301,0.7724762,0.32787323,5.584717,1.0932922,0.3074646,1.8356323,0.22087097
half_c.png,9.143066,2.5680542,9.3688965,9.240723,4.510498,0.6652832,1.410675,1.6555786,2.758789,14.6484375,1.6693115,9.301758,0.340271,1.2786865,2.458191,0.4207611,0.25634766,2.156067,0.31051636,0.21953583,1.8829346,0.70610046,1.3900757,2.7923584,1.2771606,1.8508911,0.86746216,0.55618286,1.1444092,0.19550323,0.4360199,1.2702942,5.834961,0.6755829,0.51498413,1.2268066,2.9815674,0.96435547,0.4600525,0.5241394,10.089111,0.36849976,1.1665344,1.335144,2.1026611,0.9262085,0.74768066,1.3061523,0.1367569
halfskeleton.png,13.928223,3.0441284,24.804688,16.467285,1.3061523,1.3671875,1.1016846,3.3447266,3.40271,26.464844,3.0914307,7.751465,0.22335052,3.09906,1.0749817,2.0812988,0.22296906,0.64811707,0.28953552,0.25615692,1.2374878,0.41046143,1.6662598,2.041626,1.6265869,0.71144104,3.692627,1.0559082,1.5197754,0.38833618,0.3238678,0.097846985,0.6877899,0.18167496,0.8743286,2.4429321,5.3497314,0.23097992,0.36640167,0.8987427,13.098145,0.25291443,1.6921997,0.69122314,1.5960693,1.3122559,0.6629944,1.3542175,0.40855408
